index	name	abbreviation
101	Displacement ROI1	ROI1
102	Displacement ROI2	ROI2
103	Displacement ROI3	ROI3
104	Displacement ROI4	ROI4
105	Displacement ROI5	ROI5
106	Displacement ROI6	ROI6
